DLsv,DLcv,DRcv,DRsv
80,83,1,6
6,7,79,75
4,5,34,32
28,30,123,119
5,5,143,139
17,19,118,114
31,34,103,100
25,28,85,79
4,5,159,155
78,82,34,30
23,24,93,90
47,50,67,64
5,5,111,107
18,21,86,80
53,59,48,44
46,49,54,51
7,9,67,64
63,65,12,11
55,60,143,137
6,7,198,194
181,184,22,21
84,88,117,114
7,8,117,113
11,11,46,43
31,34,23,21
18,20,161,157
12,14,105,102
32,35,93,90
64,67,149,145
6,7,74,71
2,3,46,42
13,15,34,31
127,131,24,22
5,5,150,146
18,22,133,129
11,13,70,67
4,5,128,124
62,65,67,63
91,94,40,38
41,43,62,58
81,85,20,17
37,39,47,45
12,13,95,91
29,32,54,51
60,64,84,80
115,119,29,27
49,53,12,10
32,35,86,81
104,107,7,7
52,54,111,107
120,122,44,42
139,143,22,20
58,62,18,17
6,7,92,88
4,5,96,92
20,22,65,62
8,9,80,76
39,42,47,43
7,8,177,173
22,24,162,159
4,5,121,117
25,28,124,120
9,9,143,140
20,23,26,24
28,30,21,18
4,5,136,132
20,22,119,115
4,5,84,80
51,54,35,31
5,5,67,63
17,21,51,48
11,12,29,25
4,5,122,119
19,21,37,34
25,27,43,40
15,17,83,80
7,7,136,134
43,47,64,61
81,84,11,9
8,9,111,107
8,9,105,101
68,72,42,40
54,58,56,53
27,29,85,81
26,29,82,79
87,90,20,17
98,101,10,8
53,56,47,44
38,42,64,60
66,68,40,38
9,10,86,82
23,25,72,69
56,57,56,54
36,38,75,72
113,117,1,4
35,37,76,72
86,90,23,21
11,13,94,90
52,56,51,48
42,45,37,35
26,27,40,37
10,11,99,94
41,44,94,90
38,41,98,95
86,89,50,47
7,9,61,57
34,36,68,65
41,43,60,57
43,47,31,27
65,69,9,7
4,5,87,85
124,127,15,14
43,46,68,65
73,76,37,34
43,46,50,47
31,33,60,56
32,34,68,64
14,15,99,95
39,43,71,68
87,90,31,28
64,67,20,18
7,9,68,65
40,42,35,31
8,9,150,146
79,81,79,77
149,152,7,4
60,63,52,48
110,114,1,4
50,53,22,20
10,10,64,62
9,11,167,164
29,32,135,131
99,102,65,62
9,10,157,153
106,110,57,54
9,10,109,105
54,58,61,58
4,4,190,186
69,73,121,117
52,54,140,136
23,26,40,37
57,59,9,7
9,10,24,22
7,8,200,196
89,92,116,112
125,129,79,76
40,42,92,89
122,125,10,8
86,89,63,60
91,94,58,56
68,71,81,78
8,9,57,55
13,14,52,48
33,37,29,27
42,45,136,133
49,53,151,147
23,25,179,175
118,120,56,53
111,114,36,35
45,48,103,100
9,10,105,101
33,36,79,76
43,45,139,137
10,10,174,170
6,7,85,81
62,66,67,64
56,59,52,49
59,63,129,125
78,81,111,108
85,89,23,19
107,111,1,4
4,5,69,65
5,5,110,106
17,19,81,77
7,8,72,68
2,3,153,150
101,103,53,50
77,80,60,57
13,16,151,147
96,100,67,64
28,31,13,12
8,9,113,109
72,76,46,44
49,52,69,65
7,9,72,69
23,25,57,54
19,22,88,84
8,9,78,74
20,23,157,153
22,24,95,89
48,54,65,61
7,9,85,81
11,13,91,87
7,9,96,92
26,29,78,74
7,8,134,130
72,76,42,39
4,1,28,25
7,10,42,39
20,23,168,165
18,20,100,96
10,12,108,105
64,69,73,67
135,141,1,6
79,82,62,60
19,20,144,138
46,50,116,113
156,160,6,6
9,10,50,47
6,7,138,134
76,80,101,97
88,91,16,14
49,53,83,79
28,32,40,34
65,71,1,6
6,9,195,192
50,54,24,22
8,9,39,36
8,9,122,118
37,41,57,53
43,46,47,43
79,83,10,9
16,18,64,61
4,5,76,73
4,0,163,159
49,53,110,107
4,5,135,131
38,41,64,60
53,57,48,44
76,80,25,21
12,14,119,115
118,122,11,9
5,5,56,52
